Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 21:30:04,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
184, 1/6/2024, 21:31:25.911,0.0013854,
185, 1/6/2024, 21:31:25.942,0.0013839,
186, 1/6/2024, 21:31:25.974,0.0013833,
187, 1/6/2024, 21:31:26.005,0.0013833,
188, 1/6/2024, 21:31:26.521,0.0013838,
189, 1/6/2024, 21:31:27.039,0.0013823,
190, 1/6/2024, 21:31:27.560,0.0013834,
191, 1/6/2024, 21:31:28.084,0.0013847,
192, 1/6/2024, 21:31:28.604,0.0013835,
193, 1/6/2024, 21:31:29.123,0.0013841,
194, 1/6/2024, 21:31:29.643,0.0013819,
195, 1/6/2024, 21:31:30.163,0.0013839,
196, 1/6/2024, 21:31:30.684,0.0013842,
197, 1/6/2024, 21:31:31.207,0.0013853,
198, 1/6/2024, 21:31:31.728,0.0013856,
199, 1/6/2024, 21:31:32.249,0.0013845,
200, 1/6/2024, 21:31:32.768,0.0013861,
201, 1/6/2024, 21:31:33.291,0.0013846,
202, 1/6/2024, 21:31:33.814,0.0013847,
203, 1/6/2024, 21:31:34.335,0.0013839,
204, 1/6/2024, 21:31:34.856,0.0013846,
205, 1/6/2024, 21:31:35.376,0.0013829,
206, 1/6/2024, 21:31:35.898,0.0013824,
207, 1/6/2024, 21:31:35.929,0.0013788,
208, 1/6/2024, 21:31:35.983,0.0013821,
209, 1/6/2024, 21:31:36.016,0.0013839,
210, 1/6/2024, 21:31:36.536,0.0013836,
211, 1/6/2024, 21:31:37.052,0.0013836,
212, 1/6/2024, 21:31:37.574,0.0013847,
213, 1/6/2024, 21:31:38.093,0.0013818,
214, 1/6/2024, 21:31:38.617,0.001383,
215, 1/6/2024, 21:31:39.141,0.0013844,
216, 1/6/2024, 21:31:39.656,0.0013857,
217, 1/6/2024, 21:31:40.176,0.0013828,
218, 1/6/2024, 21:31:40.695,0.001381,
219, 1/6/2024, 21:31:41.220,0.0013828,
220, 1/6/2024, 21:31:41.737,0.0013823,
221, 1/6/2024, 21:31:42.255,0.0013809,
222, 1/6/2024, 21:31:42.774,0.0013833,
223, 1/6/2024, 21:31:43.295,0.0013832,
224, 1/6/2024, 21:31:43.816,0.0013832,
225, 1/6/2024, 21:31:44.337,0.0013824,
226, 1/6/2024, 21:31:44.855,0.0013805,
227, 1/6/2024, 21:31:45.376,0.0013841,
228, 1/6/2024, 21:31:45.896,0.0013821,
229, 1/6/2024, 21:31:45.928,0.0013824,
230, 1/6/2024, 21:31:45.959,0.0013812,
231, 1/6/2024, 21:31:45.990,0.0013827,
232, 1/6/2024, 21:31:46.021,0.0013821,
233, 1/6/2024, 21:31:46.538,0.0013822,
234, 1/6/2024, 21:31:47.065,0.001383,
235, 1/6/2024, 21:31:47.584,0.0013826,
236, 1/6/2024, 21:31:48.104,0.0013845,
237, 1/6/2024, 21:31:48.625,0.0013835,
238, 1/6/2024, 21:31:49.144,0.0013829,
239, 1/6/2024, 21:31:49.664,0.0013837,
240, 1/6/2024, 21:31:50.164,0.0013833,
241, 1/6/2024, 21:31:50.665,0.0013844,
242, 1/6/2024, 21:31:51.189,0.0013836,
243, 1/6/2024, 21:31:51.710,0.0013843,
244, 1/6/2024, 21:31:52.226,0.001384,
245, 1/6/2024, 21:31:52.745,0.0013822,
246, 1/6/2024, 21:31:53.266,0.001382,
247, 1/6/2024, 21:31:53.785,0.001383,
248, 1/6/2024, 21:31:54.304,0.0013841,
249, 1/6/2024, 21:31:54.823,0.0013838,
250, 1/6/2024, 21:31:55.341,0.0013851,
251, 1/6/2024, 21:31:55.858,0.0013822,
252, 1/6/2024, 21:31:56.378,0.001384,
253, 1/6/2024, 21:31:56.897,0.0013846,
254, 1/6/2024, 21:31:56.931,0.0013833,
255, 1/6/2024, 21:31:56.963,0.0013845,
256, 1/6/2024, 21:31:56.993,0.0013845,
257, 1/6/2024, 21:31:57.024,0.0013845,
258, 1/6/2024, 21:31:57.542,0.0013845,
259, 1/6/2024, 21:31:58.062,0.0013834,
260, 1/6/2024, 21:31:58.585,0.0013857,
261, 1/6/2024, 21:31:59.104,0.001384,
262, 1/6/2024, 21:31:59.622,0.0013833,
263, 1/6/2024, 21:32:00.140,0.0013821,
264, 1/6/2024, 21:32:00.658,0.0013829,
265, 1/6/2024, 21:32:01.177,0.0013836,
266, 1/6/2024, 21:32:01.696,0.001383,
267, 1/6/2024, 21:32:02.219,0.0013823,
268, 1/6/2024, 21:32:02.749,0.001382,
269, 1/6/2024, 21:32:03.258,0.001385,
270, 1/6/2024, 21:32:03.775,0.0013858,
271, 1/6/2024, 21:32:04.294,0.0013865,
272, 1/6/2024, 21:32:04.812,0.0013864,
273, 1/6/2024, 21:32:05.330,0.0013854,
274, 1/6/2024, 21:32:05.849,0.0013873,
275, 1/6/2024, 21:32:06.369,0.0013844,
276, 1/6/2024, 21:32:06.893,0.0013856,
277, 1/6/2024, 21:32:06.925,0.0013871,
278, 1/6/2024, 21:32:06.957,0.0013845,
279, 1/6/2024, 21:32:06.988,0.0013842,
280, 1/6/2024, 21:32:07.021,0.0013842,
281, 1/6/2024, 21:32:07.539,0.0013836,
282, 1/6/2024, 21:32:08.057,0.0013842,
283, 1/6/2024, 21:32:08.577,0.0013836,
284, 1/6/2024, 21:32:09.096,0.0013825,
285, 1/6/2024, 21:32:09.616,0.0013863,
286, 1/6/2024, 21:32:10.135,0.0013855,
287, 1/6/2024, 21:32:10.656,0.0013852,
288, 1/6/2024, 21:32:11.175,0.0013837,
289, 1/6/2024, 21:32:11.695,0.0013823,
290, 1/6/2024, 21:32:12.217,0.0013837,
291, 1/6/2024, 21:32:12.735,0.0013847,
292, 1/6/2024, 21:32:13.253,0.0013833,
293, 1/6/2024, 21:32:13.753,0.0013849,
294, 1/6/2024, 21:32:14.277,0.0013845,
295, 1/6/2024, 21:32:14.802,0.0013833,
296, 1/6/2024, 21:32:15.326,0.0013841,
297, 1/6/2024, 21:32:15.845,0.0013841,
298, 1/6/2024, 21:32:16.367,0.0013845,
299, 1/6/2024, 21:32:16.888,0.0013842,
300, 1/6/2024, 21:32:16.920,0.0013842,
301, 1/6/2024, 21:32:16.954,0.001383,
302, 1/6/2024, 21:32:16.985,0.0013848,
303, 1/6/2024, 21:32:17.016,0.0013836,
304, 1/6/2024, 21:32:17.538,0.0013842,
305, 1/6/2024, 21:32:18.057,0.0013856,
306, 1/6/2024, 21:32:18.583,0.0013857,
307, 1/6/2024, 21:32:19.100,0.0013837,
308, 1/6/2024, 21:32:19.620,0.0013844,
309, 1/6/2024, 21:32:20.139,0.0013848,
310, 1/6/2024, 21:32:20.657,0.0013841,
311, 1/6/2024, 21:32:21.176,0.0013838,
312, 1/6/2024, 21:32:21.693,0.0013841,
313, 1/6/2024, 21:32:22.217,0.0013813,
314, 1/6/2024, 21:32:22.742,0.0013819,
315, 1/6/2024, 21:32:23.267,0.0013838,
316, 1/6/2024, 21:32:23.788,0.0013833,
317, 1/6/2024, 21:32:24.308,0.001386,
318, 1/6/2024, 21:32:24.827,0.0013826,
319, 1/6/2024, 21:32:25.346,0.0013824,
320, 1/6/2024, 21:32:25.861,0.0013832,
321, 1/6/2024, 21:32:26.364,0.0013822,
322, 1/6/2024, 21:32:26.884,0.0013788,
323, 1/6/2024, 21:32:26.916,0.001383,
324, 1/6/2024, 21:32:26.946,0.001383,
325, 1/6/2024, 21:32:26.979,0.0013815,
326, 1/6/2024, 21:32:27.011,0.0013827,
327, 1/6/2024, 21:32:27.530,0.0013857,
328, 1/6/2024, 21:32:28.053,0.0013846,
329, 1/6/2024, 21:32:28.573,0.0013832,
330, 1/6/2024, 21:32:29.093,0.0013858,
331, 1/6/2024, 21:32:29.612,0.0013843,
332, 1/6/2024, 21:32:30.128,0.0013846,
333, 1/6/2024, 21:32:30.658,0.0013845,
334, 1/6/2024, 21:32:31.179,0.0013843,
335, 1/6/2024, 21:32:31.698,0.0013837,
336, 1/6/2024, 21:32:32.218,0.0013825,
337, 1/6/2024, 21:32:32.740,0.0013821,
338, 1/6/2024, 21:32:33.257,0.0013835,
339, 1/6/2024, 21:32:33.770,0.001383,
340, 1/6/2024, 21:32:34.300,0.0013847,
341, 1/6/2024, 21:32:34.821,0.0013836,
342, 1/6/2024, 21:32:35.341,0.001384,
343, 1/6/2024, 21:32:35.861,0.001385,
344, 1/6/2024, 21:32:36.382,0.0013851,
345, 1/6/2024, 21:32:36.900,0.0013868,
346, 1/6/2024, 21:32:36.932,0.0013886,
347, 1/6/2024, 21:32:36.963,0.001388,
348, 1/6/2024, 21:32:36.994,0.0013895,
349, 1/6/2024, 21:32:37.025,0.0013895,
350, 1/6/2024, 21:32:37.543,0.0013879,
351, 1/6/2024, 21:32:38.066,0.0013868,
352, 1/6/2024, 21:32:38.586,0.0013858,
353, 1/6/2024, 21:32:39.106,0.0013852,
354, 1/6/2024, 21:32:39.627,0.0013842,
355, 1/6/2024, 21:32:40.148,0.0013867,
356, 1/6/2024, 21:32:40.674,0.0013854,
357, 1/6/2024, 21:32:41.194,0.0013844,
358, 1/6/2024, 21:32:41.720,0.0013838,
359, 1/6/2024, 21:32:42.241,0.0013854,
360, 1/6/2024, 21:32:42.761,0.001385,
361, 1/6/2024, 21:32:43.284,0.0013851,
362, 1/6/2024, 21:32:43.805,0.0013858,
363, 1/6/2024, 21:32:44.324,0.0013843,
364, 1/6/2024, 21:32:44.843,0.001383,
365, 1/6/2024, 21:32:45.346,0.001383,
366, 1/6/2024, 21:32:45.872,0.0013837,
367, 1/6/2024, 21:32:45.919,0.0013874,
368, 1/6/2024, 21:32:45.950,0.0013842,
369, 1/6/2024, 21:32:45.980,0.0013857,
370, 1/6/2024, 21:32:46.011,0.0013836,
371, 1/6/2024, 21:32:46.530,0.0013842,
372, 1/6/2024, 21:32:47.051,0.0013833,
373, 1/6/2024, 21:32:47.572,0.0013841,
374, 1/6/2024, 21:32:48.089,0.0013826,
375, 1/6/2024, 21:32:48.612,0.0013828,
376, 1/6/2024, 21:32:49.133,0.0013835,
377, 1/6/2024, 21:32:49.643,0.0013821,
378, 1/6/2024, 21:32:50.163,0.0013848,
379, 1/6/2024, 21:32:50.682,0.0013841,
380, 1/6/2024, 21:32:51.201,0.0013851,
381, 1/6/2024, 21:32:51.720,0.0013824,
382, 1/6/2024, 21:32:52.242,0.0013809,
383, 1/6/2024, 21:32:52.768,0.0013821,
384, 1/6/2024, 21:32:53.270,0.0013847,
385, 1/6/2024, 21:32:53.793,0.0013837,
386, 1/6/2024, 21:32:54.314,0.001384,
387, 1/6/2024, 21:32:54.832,0.0013824,
388, 1/6/2024, 21:32:55.349,0.0013826,
389, 1/6/2024, 21:32:55.870,0.0013841,
390, 1/6/2024, 21:32:55.904,0.0013871,
391, 1/6/2024, 21:32:55.936,0.0013842,
392, 1/6/2024, 21:32:55.967,0.001383,
393, 1/6/2024, 21:32:55.998,0.0013818,
394, 1/6/2024, 21:32:56.029,0.0013818,
395, 1/6/2024, 21:32:56.545,0.0013839,
396, 1/6/2024, 21:32:57.069,0.0013832,
397, 1/6/2024, 21:32:57.594,0.0013838,
398, 1/6/2024, 21:32:58.110,0.0013853,
399, 1/6/2024, 21:32:58.626,0.001384,
400, 1/6/2024, 21:32:59.147,0.0013844,
401, 1/6/2024, 21:32:59.669,0.0013835,
402, 1/6/2024, 21:33:00.186,0.0013829,
403, 1/6/2024, 21:33:00.707,0.0013825,
404, 1/6/2024, 21:33:01.236,0.0013812,
405, 1/6/2024, 21:33:01.758,0.0013808,
406, 1/6/2024, 21:33:02.279,0.0013825,
407, 1/6/2024, 21:33:02.800,0.0013832,
408, 1/6/2024, 21:33:03.318,0.0013842,
409, 1/6/2024, 21:33:03.835,0.0013822,
410, 1/6/2024, 21:33:04.356,0.0013832,
411, 1/6/2024, 21:33:04.878,0.0013829,
412, 1/6/2024, 21:33:04.910,0.0013827,
413, 1/6/2024, 21:33:04.951,0.0013845,
414, 1/6/2024, 21:33:04.981,0.0013833,
415, 1/6/2024, 21:33:05.013,0.0013851,
416, 1/6/2024, 21:33:05.530,0.0013832,
417, 1/6/2024, 21:33:06.049,0.0013827,
418, 1/6/2024, 21:33:06.568,0.0013835,
419, 1/6/2024, 21:33:07.085,0.0013826,
420, 1/6/2024, 21:33:07.606,0.0013832,
421, 1/6/2024, 21:33:08.126,0.0013836,
422, 1/6/2024, 21:33:08.643,0.0013833,
423, 1/6/2024, 21:33:09.167,0.0013838,
424, 1/6/2024, 21:33:09.676,0.0013835,
425, 1/6/2024, 21:33:10.194,0.0013812,
426, 1/6/2024, 21:33:10.718,0.0013831,
427, 1/6/2024, 21:33:11.237,0.0013829,
428, 1/6/2024, 21:33:11.759,0.0013829,
429, 1/6/2024, 21:33:12.279,0.0013835,
