Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 20:17:20,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
172, 1/6/2024, 20:18:36.178,0.00139,
173, 1/6/2024, 20:18:36.696,0.0013899,
174, 1/6/2024, 20:18:37.215,0.0013905,
175, 1/6/2024, 20:18:37.734,0.0013908,
176, 1/6/2024, 20:18:38.253,0.0013905,
177, 1/6/2024, 20:18:38.773,0.0013918,
178, 1/6/2024, 20:18:39.293,0.0013902,
179, 1/6/2024, 20:18:39.812,0.0013896,
180, 1/6/2024, 20:18:40.334,0.0013897,
181, 1/6/2024, 20:18:40.852,0.0013903,
182, 1/6/2024, 20:18:41.372,0.0013907,
183, 1/6/2024, 20:18:41.890,0.0013902,
184, 1/6/2024, 20:18:41.921,0.001391,
185, 1/6/2024, 20:18:41.952,0.0013892,
186, 1/6/2024, 20:18:41.983,0.0013886,
187, 1/6/2024, 20:18:42.034,0.0013895,
188, 1/6/2024, 20:18:42.553,0.0013904,
189, 1/6/2024, 20:18:43.070,0.0013912,
190, 1/6/2024, 20:18:43.588,0.001391,
191, 1/6/2024, 20:18:44.106,0.0013904,
192, 1/6/2024, 20:18:44.629,0.0013898,
193, 1/6/2024, 20:18:45.148,0.0013892,
194, 1/6/2024, 20:18:45.670,0.0013905,
195, 1/6/2024, 20:18:46.188,0.00139,
196, 1/6/2024, 20:18:46.708,0.0013886,
197, 1/6/2024, 20:18:47.234,0.0013901,
198, 1/6/2024, 20:18:47.755,0.0013911,
199, 1/6/2024, 20:18:48.274,0.0013897,
200, 1/6/2024, 20:18:48.796,0.0013899,
201, 1/6/2024, 20:18:49.317,0.001391,
202, 1/6/2024, 20:18:49.834,0.0013908,
203, 1/6/2024, 20:18:50.355,0.0013898,
204, 1/6/2024, 20:18:50.872,0.0013918,
205, 1/6/2024, 20:18:50.903,0.0013895,
206, 1/6/2024, 20:18:50.936,0.0013895,
207, 1/6/2024, 20:18:50.967,0.0013889,
208, 1/6/2024, 20:18:50.999,0.0013895,
209, 1/6/2024, 20:18:51.030,0.0013901,
